Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/25/2023 09:00,12738.619217,2111.575707,5693.81518,1403.59442,17348.638432,3584.730036,9040.603973,1613.746056,53535.323022
01/25/2023 10:00,12794.019121,2082.841693,5622.575252,1383.596446,16863.424492,3515.817414,8462.151614,1523.537154,52247.963185
01/25/2023 11:00,12768.694274,2076.217133,5526.663972,1357.115214,16345.777319,3408.230592,7939.904157,1460.27283,50882.875493
01/25/2023 12:00,12404.501923,2021.54976,5485.724401,1330.547993,16090.94308,3283.649413,7495.43813,1405.092411,49517.447111
01/25/2023 13:00,11944.760818,1949.70932,5467.757045,1308.611189,15857.142661,3163.509666,7169.878875,1348.722184,48210.091759
01/25/2023 14:00,11651.417227,1888.076147,5492.072886,1281.203288,15600.075743,3068.681207,6942.455879,1321.29279,47245.275166
01/25/2023 15:00,11356.526757,1871.476591,5452.010629,1244.486869,15377.540761,3107.719577,6787.846633,1288.144544,46485.75236
01/25/2023 16:00,11175.919419,1826.954643,5456.002822,1224.634713,15280.02128,3131.230843,6749.114776,1275.856392,46119.734889
01/25/2023 17:00,11172.665106,1890.359293,5467.350291,1202.42599,15460.013772,3161.839807,6890.538021,1295.232279,46540.42456
01/25/2023 18:00,11600.416721,1957.119202,5449.770248,1182.181291,15926.108482,3239.561644,7251.615059,1329.995745,47936.768392
01/25/2023 19:00,12213.888449,2067.691185,5589.694448,1246.71241,16819.388479,3457.81955,7835.350715,1413.207149,50643.752384
01/25/2023 20:00,12395.979171,2092.665879,5657.819247,1265.593567,16948.333041,3583.992025,8058.398514,1444.660356,51447.441801
01/25/2023 21:00,12412.213287,2068.274618,5654.706074,1276.830746,16974.722209,3619.111782,8117.714007,1462.397697,51585.97042
01/25/2023 22:00,12172.995534,2042.145667,5638.522476,1282.450321,16650.04868,3597.467116,8013.324417,1455.139184,50852.093395
01/25/2023 23:00,11672.529708,1949.26065,5607.379663,1277.174947,15844.511992,3456.708219,7730.64295,1415.485493,48953.693622
01/25/2023 24:00,11234.417221,1872.308699,5588.398557,1181.55208,15202.736779,3316.535999,7452.469517,1384.854066,47233.272919
01/26/2023 01:00,10992.630604,1874.122274,5606.913537,1182.280614,14813.535019,3210.526494,7285.410717,1355.927671,46321.346929
01/26/2023 02:00,10928.755439,1878.88568,5629.512773,1189.78881,14763.934544,3151.000465,7288.554201,1365.005933,46195.437846
01/26/2023 03:00,10962.110779,1926.571625,5625.594933,1167.066726,14908.61129,3107.861084,7390.685545,1399.867124,46488.369105
01/26/2023 04:00,11061.447799,1955.720986,5633.643593,1185.534606,15190.820126,3179.167392,7568.625114,1428.283319,47203.242935
01/26/2023 05:00,11438.809229,2054.109636,5616.037637,1219.15599,15805.58648,3312.7544,7923.722342,1469.141198,48839.316912
01/26/2023 06:00,12129.797976,2192.699193,5603.488063,1287.029752,16924.89216,3573.473397,8527.419229,1540.718861,51779.518631
01/26/2023 07:00,13115.513348,2388.485548,5638.680156,1380.280763,18526.672981,4046.167372,9393.592614,1662.952419,56152.345203
01/26/2023 08:00,13448.857098,2447.916096,5604.390844,1431.140592,19158.921809,4208.123739,9806.624798,1715.082289,57821.057265
01/26/2023 09:00,13071.998212,2327.198362,5495.992599,1448.241644,18272.770466,4015.332538,9468.510564,1661.77815,55761.822536
01/26/2023 10:00,12607.133296,2123.350796,5408.309262,1367.437191,16886.558586,3794.333304,8796.484468,1570.102083,52553.708987
01/26/2023 11:00,12120.455903,1957.576051,5292.419886,1299.926054,15700.142966,3584.350917,8186.074744,1486.778476,49627.724996
01/26/2023 12:00,11659.924209,1818.67059,5222.239888,1237.668114,14720.291988,3449.222004,7650.209824,1400.644174,47158.870792
01/26/2023 13:00,11292.132298,1665.524943,5170.468244,1184.536984,13969.179633,3371.784864,7267.02495,1324.664742,45245.316658
01/26/2023 14:00,11054.236782,1570.180004,5143.097576,1149.280461,13341.912361,3285.593543,6953.803383,1277.797605,43775.901715
01/26/2023 15:00,10886.327287,1549.276143,5143.267217,1062.313088,12872.994958,3264.304628,6743.583364,1243.565125,42765.63181
01/26/2023 16:00,10779.624671,1561.616396,5152.522901,1019.565868,12576.398875,3262.119738,6662.126082,1234.630018,42248.604548
01/26/2023 17:00,10827.449584,1592.495073,5195.322708,1030.490362,12742.899173,3325.693714,6754.951765,1243.418082,42712.720461
01/26/2023 18:00,11111.088975,1688.187493,5236.76842,1070.772361,13450.845669,3481.493625,7079.871839,1284.547089,44403.575472
01/26/2023 19:00,11734.994743,1872.372936,5395.905614,1160.11905,14624.595929,3760.621326,7649.052593,1388.772881,47586.435071
01/26/2023 20:00,11952.6158,1960.177549,5489.849414,1199.345696,15074.986712,3889.424313,7927.344812,1452.695812,48946.440109
01/26/2023 21:00,12022.027194,1981.785564,5527.307186,1214.721979,15309.397604,3902.632154,8021.804739,1478.259159,49457.935578
01/26/2023 22:00,11832.457754,1941.602426,5448.844776,1199.898386,15161.315082,3822.103425,7968.587573,1467.997586,48842.807009
